epoch,phase,time_sec,train_total,train_l1,train_energy,train_content,train_cycle,train_ser,train_advG,train_D,train_prosody,train_grl,train_ser_online,valid_frame_ratio,val_total,val_l1,val_energy,val_content,val_cycle,val_ser,val_adv,val_ser_acc,w_lambda_l1,w_lambda_content,w_lambda_cycle,w_lambda_energy,w_lambda_ser,w_lambda_adv,w_lambda_prosody,w_lambda_grl
1,PHASE 1 — reconstruction,136.8464457988739,4.327557,0.207065,0.093124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683425,2.756468,0.134117,0.037065,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2,PHASE 1 — reconstruction,38.313687801361084,2.815121,0.136389,0.043674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.687385,2.421213,0.117349,0.037116,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3,PHASE 1 — reconstruction,28.697838306427002,2.518843,0.122127,0.03815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68582,2.153702,0.104883,0.028019,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4,PHASE 1 — reconstruction,25.257969856262207,2.351241,0.11406,0.035023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684375,2.081768,0.101288,0.028001,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5,PHASE 1 — reconstruction,23.160094499588013,2.238195,0.108602,0.033077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683318,1.935119,0.094613,0.021432,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6,PHASE 1 — reconstruction,21.391396522521973,2.158236,0.104733,0.031791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679804,1.868501,0.09135,0.020755,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7,PHASE 1 — reconstruction,23.60371708869934,2.09922,0.10185,0.031107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683646,1.812378,0.088603,0.020154,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8,PHASE 1 — reconstruction,23.23538064956665,2.04844,0.099389,0.030329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684545,1.785387,0.087116,0.021532,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9,PHASE 1 — reconstruction,23.29870295524597,2.003005,0.097213,0.029373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.686419,1.755809,0.085942,0.018484,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10,PHASE 1 — reconstruction,26.021296501159668,1.96803,0.095516,0.028853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685326,1.701318,0.083279,0.017871,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11,PHASE 1 — reconstruction,23.096213579177856,1.934815,0.093917,0.02824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.686181,1.711876,0.083584,0.020101,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12,PHASE 1 — reconstruction,23.61714816093445,1.903967,0.092449,0.027493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.682523,1.66011,0.081042,0.019634,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13,PHASE 1 — reconstruction,21.4938702583313,1.876325,0.091118,0.026979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685354,1.658275,0.08072,0.021941,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14,PHASE 1 — reconstruction,21.908712148666382,1.855399,0.090106,0.02664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683165,1.65231,0.080349,0.022668,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15,PHASE 1 — reconstruction,23.392917156219482,1.838384,0.089255,0.026638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690721,1.603381,0.078462,0.017066,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16,PHASE 1 — reconstruction,23.05701494216919,1.819772,0.088361,0.026275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688643,1.575851,0.076947,0.01846,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17,PHASE 1 — reconstruction,23.773887872695923,1.79803,0.087337,0.025646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684337,1.561258,0.076215,0.018479,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18,PHASE 1 — reconstruction,23.85304093360901,1.783583,0.086632,0.025475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681791,1.553231,0.075845,0.01817,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19,PHASE 1 — reconstruction,21.02469539642334,1.769223,0.085949,0.025118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.682324,1.530261,0.074984,0.015292,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20,PHASE 1 — reconstruction,21.629974603652954,1.753518,0.0852,0.024762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681337,1.520036,0.074412,0.015894,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21,PHASE 1 — reconstruction,21.77550172805786,1.742175,0.084656,0.024528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683296,1.51245,0.073984,0.016386,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22,PHASE 1 — reconstruction,22.281607627868652,1.731547,0.084142,0.024352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683457,1.504369,0.073427,0.017917,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23,PHASE 1 — reconstruction,24.258668422698975,1.7186,0.083532,0.023984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.680315,1.539972,0.074804,0.021948,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24,PHASE 1 — reconstruction,24.000128269195557,1.710092,0.083103,0.024015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.680599,1.480969,0.072348,0.017,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25,PHASE 1 — reconstruction,23.675795793533325,1.704184,0.082819,0.023906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.687275,1.466568,0.071772,0.015561,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26,PHASE 1 — reconstruction,21.335878133773804,1.690778,0.082184,0.023552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685503,1.471199,0.071694,0.018662,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27,PHASE 1 — reconstruction,22.475401163101196,1.69066,0.08214,0.023932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689977,1.474014,0.072,0.017003,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28,PHASE 1 — reconstruction,22.4213924407959,1.677347,0.081536,0.023318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.686303,1.447582,0.070879,0.015005,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
29,PHASE 1 — reconstruction,21.79919719696045,1.670563,0.081202,0.023265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.686522,1.453466,0.070814,0.018592,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30,PHASE 1 — reconstruction,22.90464758872986,1.659555,0.080688,0.022897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.682126,1.414913,0.069193,0.015525,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31,PHASE 1 — reconstruction,23.257791757583618,1.653965,0.080414,0.022843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688393,1.424503,0.069705,0.015197,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32,PHASE 1 — reconstruction,24.290865182876587,1.648851,0.080163,0.022796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685537,1.422855,0.069792,0.013512,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
33,PHASE 1 — reconstruction,24.860305786132812,1.641881,0.079843,0.022506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.687292,1.422004,0.069563,0.015375,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34,PHASE 1 — reconstruction,22.79834747314453,1.635701,0.079536,0.022494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684941,1.399647,0.068566,0.014159,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
35,PHASE 1 — reconstruction,21.915172576904297,1.626347,0.079107,0.022102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678276,1.3937,0.068292,0.013935,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
